task	model	srho_mean	srho_sd	srho_min	2021_dataset	2022_dataset	2020_dataset	dim_red	n_modalities	feature_set
task_11	lasso	-0.151	0.318	-0.376	0.074	-0.376	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	rf	0.096	0.178	-0.03	0.222	-0.03	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	rf+boruta	0.303	0.177	0.178	0.428	0.178	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	elnet	-0.143	0.296	-0.353	0.066	-0.353	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.238	0.192	-0.374	-0.102	-0.374	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	0.1	0.066	0.053	0.147	0.053	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf+boruta	0.077	0.342	-0.164	-0.164	0.319	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	-0.134	0.31	-0.353	0.085	-0.353	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	lasso	-0.202	0.242	-0.374	-0.031	-0.374	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	rf	0.191	0.064	0.146	0.236	0.146	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	rf+boruta	0.406	0.029	0.385	0.426	0.385	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	elnet	-0.247	0.21	-0.395	-0.099	-0.395	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.12	0.362	-0.376	0.135	-0.376	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	0.059	0.158	-0.053	0.171	-0.053	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf+boruta	0.469	0.018	0.457	0.457	0.482	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	-0.247	0.21	-0.395	-0.099	-0.395	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	-0.243	0.188	-0.376	-0.11	-0.376	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
