task	model	srho_mean	srho_sd	srho_min	2021_dataset	2022_dataset	2020_dataset	dim_red	n_modalities	feature_set
task_11	rf	0.209	0.183	0.08	0.338	0.08	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	elnet	-0.099	0.035	-0.123	-0.074	-0.123	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.091	0.018	-0.104	-0.079	-0.104	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	0.144	0.172	0.023	0.023	0.266	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	-0.099	0.035	-0.123	-0.074	-0.123	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	lasso	-0.091	0.018	-0.104	-0.079	-0.104	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	rf	0.128	0.224	-0.03	0.286	-0.03	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	elnet	-0.253	0.177	-0.377	-0.128	-0.377	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+t_cell_activation+metadata+baseline
task_11	lasso	-0.264	0.175	-0.388	-0.14	-0.388	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+t_cell_activation+metadata+baseline
task_11	rf	0.325	0.124	0.238	0.413	0.238	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+t_cell_activation+metadata+baseline
task_11	elnet	-0.223	0.21	-0.371	-0.074	-0.371	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.214	0.191	-0.349	-0.079	-0.349	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	0.294	0.176	0.169	0.169	0.418	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	-0.23	0.221	-0.386	-0.074	-0.386	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+t_cell_polarization+metadata+baseline
task_11	lasso	-0.169	0.287	-0.371	0.034	-0.371	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+t_cell_polarization+metadata+baseline
task_11	rf	0.359	0.004	0.356	0.362	0.356	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+t_cell_polarization+metadata+baseline
task_11	elnet	-0.249	0.171	-0.37	-0.128	-0.37	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	lasso	-0.148	0.34	-0.388	0.093	-0.388	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	rf	0.123	0.224	-0.036	0.281	-0.036	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	elnet	-0.277	0.212	-0.427	-0.128	-0.427	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.161	0.359	-0.415	0.093	-0.415	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	0.049	0.065	0.003	0.095	0.003	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	-0.277	0.212	-0.427	-0.128	-0.427	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	-0.184	0.327	-0.415	0.048	-0.415	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf	0.203	0.011	0.195	0.211	0.195	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	elnet	-0.078	0.006	-0.082	-0.082	-0.074	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.105	0	-0.106	-0.106	-0.105	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	0.033	0.21	-0.116	0.181	-0.116	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	-0.082	0.026	-0.1	-0.063	-0.1	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	lasso	-0.114	0.012	-0.122	-0.122	-0.105	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	rf	0.072	0.109	-0.005	0.148	-0.005	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	elnet	-0.249	0.171	-0.37	-0.128	-0.37	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	lasso	-0.165	0.315	-0.388	0.057	-0.388	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	rf	0.303	0.043	0.272	0.333	0.272	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	elnet	-0.176	0.304	-0.391	0.039	-0.391	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.253	0.215	-0.405	-0.101	-0.405	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	0.108	0.264	-0.079	0.295	-0.079	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	-0.158	0.33	-0.391	0.075	-0.391	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	lasso	-0.231	0.246	-0.405	-0.057	-0.405	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	rf	0.319	0.137	0.223	0.223	0.416	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	elnet	-0.156	0.04	-0.183	-0.128	-0.183	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.146	0.381	-0.415	0.124	-0.415	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	0.163	0.172	0.042	0.285	0.042	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	-0.156	0.04	-0.183	-0.128	-0.183	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	-0.278	0.194	-0.415	-0.14	-0.415	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf	-0	0.135	-0.096	0.095	-0.096	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	elnet	-0.105	0.044	-0.135	-0.074	-0.135	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.093	0.02	-0.107	-0.079	-0.107	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	0.101	0.035	0.077	0.126	0.077	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	-0.105	0.044	-0.135	-0.074	-0.135	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	lasso	-0.03	0.108	-0.107	0.046	-0.107	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	rf	0.194	0.083	0.135	0.252	0.135	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	elnet	-0.249	0.171	-0.37	-0.128	-0.37	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+t_cell_activation+metadata+baseline
task_11	lasso	-0.161	0.293	-0.368	0.046	-0.368	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+t_cell_activation+metadata+baseline
task_11	rf	0.261	0.035	0.236	0.286	0.236	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+t_cell_activation+metadata+baseline
task_11	elnet	-0.223	0.21	-0.371	-0.074	-0.371	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.198	0.214	-0.349	-0.046	-0.349	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	0.144	0.06	0.102	0.102	0.186	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	-0.23	0.221	-0.386	-0.074	-0.386	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+t_cell_polarization+metadata+baseline
task_11	lasso	-0.17	0.306	-0.386	0.046	-0.386	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+t_cell_polarization+metadata+baseline
task_11	rf	0.245	0.055	0.206	0.284	0.206	NA	none	5	pbmc_cell_frequency+pbmc_gene_expression+t_cell_polarization+metadata+baseline
task_11	elnet	-0.175	0.288	-0.379	0.028	-0.379	NA	none	4	pbmc_cell_frequency+plasma_ab_titer+metadata+baseline
task_11	lasso	-0.176	0.289	-0.38	0.028	-0.38	NA	none	4	pbmc_cell_frequency+plasma_ab_titer+metadata+baseline
task_11	rf	-0.137	0.019	-0.15	-0.15	-0.123	NA	none	4	pbmc_cell_frequency+plasma_ab_titer+metadata+baseline
task_11	elnet	-0.182	0.306	-0.398	0.035	-0.398	NA	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	lasso	-0.173	0.294	-0.38	0.035	-0.38	NA	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	rf	-0.09	0.021	-0.104	-0.104	-0.075	NA	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	elnet	-0.02	0.096	-0.087	0.048	-0.087	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.005	0.074	-0.057	0.048	-0.057	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	-0.297	0.08	-0.353	-0.241	-0.353	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	-0.02	0.096	-0.087	0.048	-0.087	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	0.007	0.058	-0.035	0.048	-0.035	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf	-0.248	0.164	-0.364	-0.132	-0.364	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
